index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
500,5315,5225,15526,716
501,-14384,-12607,10463,719
502,-14442,-12644,10420,720
503,-3303,-3285,16057,721
504,-24242,-16315,1491,722
505,-8435,-8066,14261,723
506,9221,8738,13860,724
507,-4925,-4846,15647,727
508,-17241,-14234,8118,728
509,-1678,-1676,16298,729
510,-19167,-15086,6396,730
511,6293,6140,15190,731
512,-24348,-16321,1385,732
513,-5455,-5354,15485,733
514,3314,3296,16046,735
515,-24341,-16321,1393,736
516,7348,7106,14762,737
517,-18751,-14919,6778,738
518,-1971,-1968,16267,740
519,-23148,-16181,2576,741
520,-6223,-6070,15217,743
521,-14841,-12894,10110,745
522,-8913,-8481,14024,746
523,13446,11989,11168,747
524,-6222,-6068,15215,748
525,12971,11658,11511,751
526,17085,14154,8249,753
527,-12751,-11501,11667,755
528,-21520,-15844,4171,756
529,-24738,-16355,997,757
530,2029,2028,16256,759
531,25731,16383,10,761
532,-7723,-7439,14598,762
533,7728,7446,14593,767
534,14476,12668,10389,768
535,7811,7519,14556,770
536,13086,11740,11427,773
537,23142,16177,2587,774
538,-15474,-13275,9606,775
539,-24687,-16350,1049,776
540,-17893,-14542,7546,777
541,-19239,-15114,6328,778
542,8722,8315,14118,781
543,3293,3267,16057,782
544,-14517,-12692,10364,785
545,10267,9605,13273,788
546,13738,12186,10954,790
547,-17100,-14160,8240,792
548,5520,5413,15463,793
549,12761,11505,11664,794
550,-19841,-15335,5768,796
551,16435,13809,8814,797
552,23920,16282,1812,798
553,-20172,-15447,5456,799
554,-24414,-16327,1319,800
555,-9679,-9128,13608,803
556,9128,8662,13907,804
557,23583,16242,2152,806
558,-5319,-5228,15531,808
559,11067,10241,12792,809
560,-21824,-15919,3875,810
561,9811,9235,13532,811
562,6549,6377,15092,812
563,-20491,-15553,5156,813
564,14025,12374,10738,814
565,18030,14605,7424,815
566,5168,5081,15575,816
567,-19505,-15210,6079,820
568,24904,16361,832,822
