index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
791,17096,14160,8239,1135
792,-84,-80,16380,1136
793,11149,10307,12734,1137
794,457,458,16376,1138
795,-11662,-10700,12406,1139
796,17229,14226,8125,1141
797,24719,16352,1020,1146
798,-13191,-11812,11356,1148
799,2639,2625,16173,1149
800,-5992,-5860,15303,1151
801,21714,15893,3980,1152
802,424,426,16376,1153
803,19525,15222,6061,1154
804,18737,14911,6787,1155
805,-11517,-10591,12504,1156
806,14927,12949,10038,1157
807,-4378,-4324,15800,1161
808,22352,16034,3362,1162
809,398,400,16376,1163
810,16499,13850,8754,1164
811,-11178,-10329,12713,1165
812,-10369,-9693,13213,1166
813,4475,4418,15775,1167
814,25679,16383,60,1168
815,-533,-536,16381,1169
816,-18087,-14629,7373,1172
817,1986,1984,16262,1174
818,-7972,-7660,14483,1176
819,2672,2665,16165,1178
820,2235,2228,16232,1179
821,-2298,-2293,16226,1180
822,-9173,-8701,13885,1181
823,-16026,-13588,9151,1182
824,10166,9525,13331,1183
825,3696,3666,15966,1184
826,-13714,-12170,10971,1185
827,14183,12479,10617,1187
828,-23489,-16230,2243,1189
829,12595,11389,11778,1190
830,10563,9846,13093,1192
831,16029,13590,9148,1193
832,-5864,-5740,15348,1194
833,8425,8057,14264,1195
834,16509,13858,8742,1196
835,24749,16355,984,1198
836,-240,-234,16378,1199
837,-23830,-16270,1901,1200
838,118,122,16383,1202
839,4642,4582,15730,1203
840,19029,15030,6521,1204
841,19260,15121,6306,1205
842,-3073,-3059,16101,1206
843,1336,1340,16327,1207
844,-2217,-2214,16237,1209
845,11450,10543,12541,1210
846,-4634,-4570,15729,1211
847,7967,7653,14488,1212
848,-17791,-14496,7638,1214
849,-1570,-1574,16312,1215
850,24151,16305,1588,1216
851,-8310,-7958,14323,1217
852,9919,9325,13470,1218
853,7712,7432,14601,1219
854,18106,14641,7354,1220
855,18136,14655,7326,1221
856,18496,14815,7002,1224
857,-6176,-6028,15233,1225
858,-9437,-8930,13745,1226
859,11258,10389,12668,1227
860,13352,11922,11239,1229
861,19167,15086,6393,1230
862,-23888,-16278,1843,1231
863,-22214,-16004,3495,1232
864,6751,6561,15012,1234
865,21666,15878,4030,1235
866,25603,16383,136,1236
867,12702,11467,11700,1237
868,-3399,-3377,16035,1238
869,-20669,-15608,4989,1242
870,6884,6683,14957,1244
871,19177,15090,6385,1245
872,-2899,-2885,16129,1246
873,9986,9379,13432,1247
874,20765,15634,4894,1250
875,-23369,-16213,2358,1252
876,15243,13133,9791,1253
877,-10636,-9904,13048,1254
878,-6442,-6275,15134,1257
879,-18243,-14700,7235,1258
880,1604,1606,16303,1261
881,3393,3372,16030,1262
882,15057,13027,9936,1264
883,-16987,-14104,8340,1265
884,-21671,-15878,4025,1266
885,19088,15054,6465,1268
886,6162,6019,15236,1270
887,-13340,-11914,11244,1272
888,21249,15771,4432,1273
